neighbourhood_group,room_type,minimum_nights,amenity_score,number_of_reviews,availability_365,price_class
Brooklyn,Entire home/apt,2.0,85.7,3.0,0.0,2
Manhattan,Shared room,1.0,85.1,0.0,44.0,3
Queens,Entire home/apt,4.0,66.5,42.0,285.0,2
Brooklyn,Private room,7.0,13.5,1.0,0.0,0
Brooklyn,Private room,2.0,36.3,34.0,39.0,1
Manhattan,Entire home/apt,3.0,66.0,3.0,199.0,2
Manhattan,Entire home/apt,3.0,36.4,10.0,0.0,1
Brooklyn,Entire home/apt,30.0,46.4,7.0,189.0,1
Brooklyn,Entire home/apt,2.0,34.4,57.0,110.0,1
Brooklyn,Private room,1.0,35.2,84.0,188.0,1
Brooklyn,Entire home/apt,3.0,77.9,7.0,74.0,2
Manhattan,Entire home/apt,3.0,60.4,177.0,216.0,2
Brooklyn,Private room,1.0,34.5,,360.0,1
Brooklyn,Entire home/apt,30.0,46.5,6.0,156.0,1
Manhattan,Entire home/apt,1.0,64.8,13.0,0.0,1
Brooklyn,Private room,1.0,38.5,0.0,342.0,1
Brooklyn,Entire home/apt,2.0,97.3,0.0,340.0,3
Brooklyn,Private room,2.0,37.2,0.0,16.0,1
Brooklyn,Entire home/apt,1.0,33.3,1.0,49.0,1
Manhattan,Private room,2.0,52.6,121.0,70.0,1
Brooklyn,Entire home/apt,3.0,69.0,62.0,213.0,2
Brooklyn,Entire home/apt,2.0,37.9,34.0,120.0,1
Manhattan,Private room,5.0,46.2,1.0,0.0,1
,Entire home/apt,3.0,60.4,105.0,204.0,2
Brooklyn,Private room,1.0,61.1,0.0,177.0,1
Manhattan,Private room,2.0,18.7,74.0,310.0,0
Brooklyn,Private room,1.0,40.3,0.0,0.0,1
Manhattan,Private room,5.0,57.8,0.0,0.0,1
Brooklyn,Entire home/apt,30.0,60.8,1.0,91.0,1
Brooklyn,Entire home/apt,14.0,50.5,14.0,0.0,1
Brooklyn,Entire home/apt,,,0.0,0.0,1
Brooklyn,Private room,2.0,47.5,74.0,343.0,1
Manhattan,Private room,2.0,,1.0,0.0,1
Queens,Entire home/apt,20.0,54.3,75.0,364.0,1
Brooklyn,Private room,30.0,26.6,0.0,305.0,0
Brooklyn,Entire home/apt,2.0,55.4,0.0,0.0,1
Queens,Entire home/apt,2.0,58.6,175.0,269.0,2
Manhattan,Entire home/apt,2.0,85.7,0.0,255.0,3
Manhattan,Private room,1.0,14.1,594.0,339.0,0
,Private room,3.0,39.6,0.0,0.0,1
Manhattan,Entire home/apt,5.0,83.2,8.0,35.0,3
,Private room,2.0,47.4,31.0,20.0,1
Brooklyn,Private room,2.0,33.2,2.0,0.0,1
Manhattan,Entire home/apt,1.0,63.9,9.0,11.0,1
Manhattan,Entire home/apt,3.0,52.5,5.0,0.0,1
Queens,Private room,2.0,21.1,5.0,,0
Manhattan,Entire home/apt,31.0,82.8,0.0,326.0,2
Brooklyn,Entire home/apt,2.0,44.9,0.0,0.0,1
Manhattan,Entire home/apt,7.0,72.1,1.0,0.0,2
Queens,Entire home/apt,,38.4,0.0,0.0,1
Manhattan,Entire home/apt,1.0,72.0,5.0,233.0,2
Manhattan,Entire home/apt,30.0,68.7,15.0,333.0,2
Brooklyn,Private room,3.0,,7.0,0.0,0
Manhattan,Entire home/apt,5.0,71.7,2.0,0.0,2
Manhattan,Entire home/apt,2.0,58.3,24.0,120.0,1
Queens,Shared room,1.0,13.6,36.0,140.0,0
Manhattan,Entire home/apt,3.0,81.2,52.0,285.0,3
Brooklyn,Private room,3.0,34.0,2.0,241.0,1
Brooklyn,Entire home/apt,2.0,54.0,88.0,82.0,1
Brooklyn,Private room,1.0,22.9,0.0,0.0,0
,Entire home/apt,1.0,56.7,1.0,277.0,1
Staten Island,Private room,2.0,48.4,12.0,279.0,1
Manhattan,Entire home/apt,2.0,49.4,47.0,177.0,1
Staten Island,Entire home/apt,3.0,86.8,59.0,245.0,2
Brooklyn,Entire home/apt,1.0,52.9,50.0,335.0,1
Brooklyn,Private room,4.0,17.5,6.0,0.0,0
Manhattan,Private room,3.0,46.5,2.0,0.0,1
Brooklyn,Private room,3.0,91.1,4.0,89.0,3
Manhattan,Entire home/apt,2.0,38.2,1.0,0.0,1
Brooklyn,Entire home/apt,3.0,62.2,3.0,42.0,1
Brooklyn,Private room,2.0,32.1,96.0,7.0,0
Manhattan,Entire home/apt,7.0,82.6,1.0,76.0,2
Manhattan,Entire home/apt,2.0,75.7,21.0,177.0,3
Manhattan,Private room,1.0,64.0,43.0,197.0,1
Brooklyn,Entire home/apt,15.0,48.9,22.0,5.0,1
Brooklyn,Entire home/apt,2.0,80.4,8.0,177.0,2
Queens,Entire home/apt,2.0,62.5,111.0,252.0,1
Brooklyn,Private room,1.0,98.7,0.0,0.0,3
Manhattan,Private room,1.0,74.9,3.0,30.0,2
Queens,Entire home/apt,2.0,76.3,47.0,361.0,3
Brooklyn,Private room,1.0,40.4,0.0,0.0,1
Brooklyn,Entire home/apt,30.0,75.9,0.0,349.0,3
Manhattan,Private room,1.0,51.8,,0.0,1
Brooklyn,Entire home/apt,5.0,78.5,1.0,0.0,2
Brooklyn,Private room,3.0,17.7,15.0,217.0,0
Manhattan,Private room,7.0,46.5,167.0,292.0,1
Brooklyn,Private room,1.0,30.5,2.0,55.0,0
,Private room,1.0,39.4,57.0,48.0,1
Brooklyn,Private room,2.0,65.7,0.0,280.0,1
Brooklyn,Entire home/apt,5.0,66.8,0.0,80.0,2
Brooklyn,Entire home/apt,5.0,64.3,34.0,0.0,1
Manhattan,Private room,1.0,84.1,64.0,332.0,2
Brooklyn,Entire home/apt,1.0,52.4,0.0,0.0,1
Manhattan,Entire home/apt,1.0,81.0,1.0,365.0,3
Brooklyn,Entire home/apt,9.0,52.0,1.0,73.0,1
Manhattan,Private room,1.0,63.7,2.0,0.0,1
Brooklyn,Private room,2.0,30.8,35.0,296.0,0
Brooklyn,Private room,,18.2,6.0,79.0,0
,Private room,2.0,44.0,7.0,0.0,1
Manhattan,Entire home/apt,30.0,68.2,0.0,328.0,2
Brooklyn,Private room,1.0,21.7,1.0,0.0,0
Brooklyn,Entire home/apt,7.0,68.0,0.0,0.0,1
,Entire home/apt,3.0,48.7,3.0,0.0,1
Queens,Private room,1.0,53.6,37.0,344.0,1
Brooklyn,Shared room,2.0,30.6,5.0,0.0,0
Queens,Entire home/apt,1.0,54.2,0.0,0.0,1
Manhattan,Private room,4.0,32.8,2.0,0.0,1
Brooklyn,Private room,3.0,33.8,9.0,6.0,1
Manhattan,Private room,,28.5,0.0,0.0,1
Manhattan,Entire home/apt,3.0,71.7,68.0,195.0,2
Brooklyn,Entire home/apt,2.0,79.8,10.0,0.0,2
Manhattan,Entire home/apt,,69.1,6.0,0.0,2
Manhattan,Entire home/apt,2.0,83.2,0.0,0.0,2
Manhattan,Entire home/apt,1.0,71.9,0.0,0.0,2
Manhattan,Private room,5.0,31.6,0.0,0.0,1
Queens,Private room,1.0,20.6,78.0,69.0,0
Manhattan,Entire home/apt,30.0,76.8,3.0,303.0,3
Manhattan,Private room,2.0,61.1,107.0,49.0,2
Brooklyn,Private room,2.0,53.5,98.0,164.0,1
Brooklyn,Private room,3.0,51.0,51.0,329.0,1
Brooklyn,Private room,1.0,29.8,5.0,0.0,0
Manhattan,Entire home/apt,2.0,75.2,9.0,133.0,2
Brooklyn,Entire home/apt,3.0,61.7,3.0,74.0,1
Manhattan,Entire home/apt,4.0,78.1,84.0,88.0,2
Brooklyn,Private room,2.0,37.2,24.0,340.0,1
Brooklyn,Private room,2.0,47.6,45.0,350.0,1
Queens,Private room,1.0,88.7,26.0,365.0,3
Manhattan,Entire home/apt,30.0,59.2,0.0,281.0,1
Brooklyn,Entire home/apt,,44.7,8.0,0.0,1
Queens,Entire home/apt,4.0,,44.0,271.0,1
Queens,Private room,16.0,19.6,34.0,146.0,0
Manhattan,Private room,3.0,51.5,140.0,66.0,1
Brooklyn,Entire home/apt,2.0,68.7,26.0,8.0,2
Staten Island,Private room,1.0,51.9,40.0,363.0,1
Brooklyn,Private room,3.0,37.2,0.0,0.0,1
Manhattan,Private room,1.0,57.9,4.0,365.0,2
Manhattan,Entire home/apt,6.0,78.8,1.0,,2
Brooklyn,Private room,1.0,53.6,75.0,81.0,1
Staten Island,Private room,2.0,,25.0,306.0,0
Brooklyn,Private room,14.0,20.8,5.0,163.0,0
Manhattan,Entire home/apt,1.0,94.4,4.0,298.0,3
Manhattan,Entire home/apt,1.0,52.1,3.0,0.0,1
Manhattan,Entire home/apt,,59.8,,0.0,2
Manhattan,Entire home/apt,3.0,53.9,75.0,234.0,1
Brooklyn,Private room,2.0,44.4,14.0,0.0,1
Manhattan,Private room,2.0,60.1,60.0,125.0,1
Manhattan,Entire home/apt,2.0,86.6,3.0,0.0,3
Queens,Private room,30.0,34.7,7.0,294.0,0
Manhattan,Entire home/apt,3.0,80.9,15.0,25.0,2
Brooklyn,Private room,4.0,53.2,0.0,0.0,1
Queens,Private room,2.0,12.9,27.0,190.0,0
Manhattan,Private room,5.0,29.7,3.0,66.0,1
Queens,Private room,2.0,17.8,0.0,0.0,0
Manhattan,Entire home/apt,29.0,68.1,0.0,340.0,2
Manhattan,Private room,10.0,42.2,0.0,0.0,1
Manhattan,Entire home/apt,2.0,66.9,81.0,194.0,2
Brooklyn,Entire home/apt,4.0,58.2,1.0,0.0,1
Manhattan,Entire home/apt,30.0,72.1,0.0,365.0,2
Brooklyn,Entire home/apt,2.0,77.3,3.0,157.0,2
Manhattan,Private room,2.0,51.7,171.0,234.0,1
Manhattan,Entire home/apt,1.0,67.7,6.0,0.0,2
Manhattan,Entire home/apt,30.0,37.1,6.0,15.0,1
Manhattan,Private room,30.0,34.9,16.0,237.0,1
Manhattan,Entire home/apt,1.0,59.1,7.0,0.0,2
Brooklyn,Entire home/apt,2.0,67.5,19.0,15.0,2
Manhattan,Private room,3.0,42.9,1.0,26.0,1
Queens,Private room,14.0,15.7,107.0,323.0,0
Manhattan,Entire home/apt,2.0,61.4,2.0,0.0,1
Manhattan,Private room,2.0,47.8,80.0,0.0,1
Manhattan,Entire home/apt,14.0,45.5,15.0,0.0,1
Brooklyn,,3.0,54.1,16.0,60.0,1
Manhattan,Entire home/apt,2.0,65.5,48.0,329.0,1
Manhattan,Private room,6.0,23.0,6.0,0.0,0
Queens,Private room,1.0,37.4,26.0,173.0,1
Brooklyn,Private room,,16.3,2.0,0.0,0
Brooklyn,Entire home/apt,6.0,50.6,3.0,25.0,1
Bronx,Entire home/apt,5.0,47.3,1.0,0.0,1
Brooklyn,Entire home/apt,3.0,63.8,7.0,3.0,1
Manhattan,Entire home/apt,3.0,57.0,59.0,4.0,2
Manhattan,Entire home/apt,3.0,61.7,3.0,0.0,2
Brooklyn,Private room,1.0,11.1,1.0,0.0,0
Manhattan,Entire home/apt,2.0,63.0,28.0,0.0,1
Brooklyn,Entire home/apt,2.0,45.9,3.0,1.0,1
Manhattan,Entire home/apt,30.0,36.3,7.0,331.0,1
Brooklyn,Private room,2.0,43.5,12.0,6.0,1
Brooklyn,Entire home/apt,2.0,64.4,370.0,204.0,2
Brooklyn,Private room,2.0,51.5,3.0,285.0,1
Manhattan,Entire home/apt,4.0,35.4,2.0,0.0,1
Queens,Private room,2.0,29.9,1.0,83.0,0
Queens,Entire home/apt,3.0,67.4,64.0,264.0,1
Manhattan,Private room,2.0,73.0,3.0,365.0,2
Brooklyn,Entire home/apt,3.0,65.9,1.0,343.0,2
Manhattan,Entire home/apt,26.0,45.8,22.0,0.0,1
Brooklyn,Shared room,30.0,29.0,8.0,179.0,0
Manhattan,Private room,,57.7,2.0,0.0,1
Brooklyn,Private room,3.0,49.2,85.0,292.0,1
Manhattan,Entire home/apt,29.0,81.0,0.0,243.0,2
Brooklyn,Private room,10.0,32.7,1.0,0.0,0
Brooklyn,Private room,1.0,32.1,8.0,335.0,0
Manhattan,Private room,3.0,63.1,2.0,0.0,1
Manhattan,Entire home/apt,30.0,55.9,8.0,342.0,1
Brooklyn,Entire home/apt,1.0,36.3,2.0,92.0,1
Brooklyn,Entire home/apt,1.0,56.7,3.0,0.0,1
Brooklyn,Private room,,22.6,1.0,0.0,0
Brooklyn,Entire home/apt,2.0,59.0,0.0,0.0,1
Brooklyn,Private room,4.0,33.0,65.0,290.0,1
Manhattan,Private room,1.0,45.7,1.0,88.0,1
Brooklyn,Entire home/apt,3.0,55.5,1.0,0.0,1
Manhattan,Entire home/apt,4.0,69.3,4.0,204.0,2
Queens,Private room,3.0,34.5,26.0,1.0,1
Manhattan,Private room,2.0,39.7,13.0,6.0,1
Manhattan,Entire home/apt,2.0,69.8,0.0,0.0,2
Manhattan,Shared room,1.0,31.9,0.0,0.0,0
Manhattan,Entire home/apt,7.0,66.2,2.0,1.0,2
Manhattan,Entire home/apt,2.0,79.5,0.0,0.0,3
Manhattan,Entire home/apt,2.0,65.9,129.0,220.0,2
Queens,Private room,1.0,26.9,43.0,88.0,0
Manhattan,Private room,1.0,33.8,1.0,0.0,1
Manhattan,Entire home/apt,31.0,54.7,49.0,119.0,1
Manhattan,Entire home/apt,1.0,85.7,0.0,3.0,3
Manhattan,Entire home/apt,30.0,61.6,5.0,239.0,2
Manhattan,Entire home/apt,2.0,45.8,12.0,0.0,1
Brooklyn,Shared room,1.0,16.9,24.0,0.0,0
Brooklyn,Private room,1.0,63.9,0.0,95.0,1
Queens,Private room,2.0,36.3,43.0,90.0,1
Manhattan,Private room,1.0,54.7,0.0,319.0,1
Queens,Private room,1.0,44.3,34.0,262.0,1
Brooklyn,Entire home/apt,2.0,50.8,1.0,0.0,1
Manhattan,Entire home/apt,3.0,76.5,0.0,0.0,3
Brooklyn,Private room,1.0,,2.0,365.0,1
Brooklyn,Entire home/apt,1.0,72.0,10.0,0.0,2
Manhattan,Private room,1.0,45.7,0.0,15.0,1
Brooklyn,Shared room,1.0,14.9,,365.0,0
Brooklyn,Entire home/apt,3.0,37.6,227.0,173.0,1
Manhattan,Entire home/apt,3.0,61.1,18.0,188.0,2
Brooklyn,Private room,2.0,44.6,8.0,312.0,1
Manhattan,Private room,3.0,52.9,0.0,173.0,1
Brooklyn,Private room,3.0,17.7,0.0,275.0,0
Brooklyn,Entire home/apt,30.0,33.6,11.0,251.0,1
Queens,Private room,7.0,20.2,16.0,247.0,0
Brooklyn,Entire home/apt,3.0,49.5,27.0,41.0,1
Brooklyn,Private room,2.0,54.0,2.0,337.0,1
Brooklyn,Private room,3.0,32.2,4.0,0.0,1
Manhattan,Entire home/apt,1.0,66.0,19.0,65.0,1
Manhattan,Entire home/apt,30.0,74.9,2.0,298.0,2
Brooklyn,Entire home/apt,,73.7,0.0,0.0,2
Brooklyn,Private room,7.0,34.2,1.0,0.0,1
Manhattan,Private room,1.0,45.2,0.0,0.0,1
Manhattan,Entire home/apt,1.0,80.8,8.0,325.0,2
Manhattan,Entire home/apt,29.0,65.8,1.0,58.0,2
Manhattan,Private room,3.0,29.5,5.0,1.0,1
Brooklyn,Entire home/apt,1.0,66.1,16.0,334.0,1
Manhattan,Entire home/apt,30.0,87.5,1.0,358.0,2
Manhattan,Private room,2.0,39.6,0.0,0.0,1
Manhattan,Entire home/apt,1.0,87.3,35.0,141.0,3
Brooklyn,Entire home/apt,14.0,55.4,43.0,319.0,1
Brooklyn,Entire home/apt,2.0,52.4,11.0,0.0,1
Manhattan,Shared room,1.0,30.1,0.0,0.0,1
Brooklyn,Private room,1.0,55.5,33.0,0.0,1
Brooklyn,Private room,1.0,50.1,5.0,348.0,1
Brooklyn,Private room,2.0,28.5,5.0,2.0,1
Manhattan,Entire home/apt,7.0,78.4,14.0,305.0,2
Manhattan,Entire home/apt,2.0,65.3,60.0,47.0,1
Manhattan,Entire home/apt,2.0,70.0,9.0,284.0,2
Manhattan,Private room,1.0,49.2,0.0,0.0,1
Brooklyn,Private room,1.0,48.9,,0.0,1
Brooklyn,Entire home/apt,2.0,50.9,100.0,296.0,1
Queens,Entire home/apt,3.0,33.2,1.0,0.0,1
Bronx,Private room,1.0,38.2,13.0,35.0,1
Brooklyn,Private room,1.0,38.6,3.0,0.0,1
Brooklyn,Entire home/apt,4.0,51.6,55.0,22.0,1
Brooklyn,Entire home/apt,3.0,69.2,1.0,4.0,2
Brooklyn,Entire home/apt,2.0,54.3,6.0,17.0,1
Brooklyn,Entire home/apt,5.0,77.3,40.0,70.0,2
Manhattan,Entire home/apt,29.0,76.9,0.0,324.0,2
Brooklyn,Private room,7.0,12.8,2.0,0.0,0
Manhattan,Private room,,33.6,82.0,0.0,1
Manhattan,Private room,2.0,67.1,5.0,15.0,1
Queens,Private room,1.0,67.0,2.0,0.0,1
Manhattan,Entire home/apt,30.0,59.1,28.0,0.0,2
Queens,Private room,3.0,31.9,8.0,0.0,1
Brooklyn,Entire home/apt,3.0,54.7,65.0,127.0,1
Brooklyn,Entire home/apt,4.0,29.3,17.0,0.0,1
Manhattan,Entire home/apt,31.0,70.1,7.0,330.0,2
Queens,Entire home/apt,2.0,86.1,,365.0,3
Brooklyn,Entire home/apt,4.0,56.3,43.0,275.0,2
Brooklyn,Private room,,22.1,3.0,0.0,0
Queens,Private room,5.0,53.9,0.0,0.0,1
Brooklyn,Entire home/apt,3.0,39.5,0.0,14.0,1
Brooklyn,Private room,1.0,37.6,19.0,0.0,1
Manhattan,Entire home/apt,10.0,68.0,22.0,0.0,1
Brooklyn,Private room,4.0,42.4,0.0,0.0,1
Queens,Entire home/apt,7.0,53.6,5.0,0.0,1
Manhattan,Private room,1.0,38.4,2.0,0.0,1
Manhattan,Entire home/apt,7.0,49.5,2.0,0.0,1
Brooklyn,Private room,2.0,41.8,1.0,10.0,1
Brooklyn,Private room,1.0,,0.0,0.0,1
Manhattan,Entire home/apt,110.0,35.3,13.0,327.0,1
Queens,Entire home/apt,1.0,48.7,126.0,245.0,1
Brooklyn,,7.0,89.4,0.0,0.0,3
Manhattan,Entire home/apt,3.0,66.7,0.0,358.0,2
Manhattan,Entire home/apt,30.0,56.3,1.0,0.0,2
Brooklyn,Entire home/apt,3.0,48.5,97.0,348.0,1
Manhattan,Private room,1.0,66.8,49.0,134.0,1
Manhattan,Entire home/apt,185.0,42.7,0.0,358.0,1
Manhattan,Private room,3.0,46.5,6.0,0.0,1
Manhattan,Private room,1.0,46.7,32.0,181.0,1
Queens,Private room,1.0,29.7,4.0,365.0,1
,Entire home/apt,30.0,62.0,4.0,322.0,1
Brooklyn,Private room,1.0,48.2,24.0,157.0,1
Manhattan,Entire home/apt,3.0,88.0,70.0,71.0,3
Manhattan,Entire home/apt,2.0,61.8,14.0,365.0,1
Brooklyn,Entire home/apt,1.0,30.4,47.0,348.0,1
Queens,Private room,1.0,28.2,3.0,166.0,0
Manhattan,Private room,4.0,48.1,21.0,52.0,1
Manhattan,Entire home/apt,5.0,52.8,5.0,0.0,1
,Private room,3.0,66.7,77.0,45.0,1
Brooklyn,Entire home/apt,3.0,41.6,17.0,6.0,1
Brooklyn,Entire home/apt,7.0,67.3,1.0,0.0,1
Manhattan,Private room,1.0,67.0,0.0,362.0,2
Brooklyn,Entire home/apt,5.0,40.9,9.0,0.0,1
Manhattan,Private room,1.0,29.7,200.0,272.0,1
Brooklyn,Private room,4.0,25.8,1.0,0.0,0
Brooklyn,Private room,3.0,30.1,,0.0,1
Manhattan,Entire home/apt,30.0,69.0,0.0,332.0,2
Manhattan,Entire home/apt,1.0,35.0,3.0,0.0,1
Manhattan,Entire home/apt,1.0,82.2,0.0,334.0,2
Manhattan,Private room,4.0,14.1,15.0,4.0,0
Manhattan,Entire home/apt,1.0,74.5,5.0,0.0,2
Manhattan,Entire home/apt,,48.0,31.0,0.0,1
Brooklyn,Entire home/apt,2.0,65.8,76.0,0.0,2
Bronx,Private room,1.0,19.9,0.0,89.0,0
Manhattan,Entire home/apt,2.0,77.5,134.0,270.0,2
Manhattan,Entire home/apt,31.0,47.5,2.0,365.0,1
Manhattan,Entire home/apt,1.0,77.0,0.0,0.0,3
Manhattan,Private room,1.0,62.3,95.0,280.0,1
Manhattan,Entire home/apt,1.0,72.2,0.0,0.0,2
Queens,Private room,1.0,27.9,76.0,0.0,0
Brooklyn,Private room,3.0,15.0,6.0,10.0,0
Manhattan,Private room,2.0,55.6,255.0,41.0,1
Manhattan,Entire home/apt,2.0,51.1,6.0,0.0,1
Queens,Private room,1.0,21.3,448.0,166.0,0
Manhattan,Entire home/apt,30.0,82.7,2.0,188.0,2
Brooklyn,Entire home/apt,4.0,72.5,2.0,34.0,2
Brooklyn,Entire home/apt,3.0,66.9,6.0,0.0,2
Brooklyn,Private room,3.0,33.2,16.0,0.0,0
Brooklyn,Private room,3.0,35.1,5.0,0.0,1
Queens,Private room,1.0,34.5,22.0,347.0,1
Queens,Private room,14.0,44.6,0.0,0.0,1
Brooklyn,Private room,2.0,25.5,61.0,26.0,0
Brooklyn,Entire home/apt,9.0,56.1,27.0,23.0,2
Brooklyn,Private room,4.0,25.2,0.0,60.0,0
Queens,Private room,1.0,38.1,38.0,0.0,1
Manhattan,Entire home/apt,31.0,82.2,8.0,342.0,2
Manhattan,Shared room,1.0,49.8,3.0,365.0,1
Manhattan,Entire home/apt,2.0,57.7,21.0,5.0,1
Manhattan,Entire home/apt,2.0,55.0,22.0,4.0,2
Brooklyn,Entire home/apt,5.0,45.2,224.0,77.0,1
Queens,Private room,1.0,48.2,14.0,123.0,1
,Private room,3.0,34.7,47.0,0.0,1
Manhattan,Private room,7.0,40.5,0.0,0.0,1
Queens,Entire home/apt,3.0,77.2,2.0,261.0,2
Manhattan,Private room,,36.0,8.0,0.0,1
Brooklyn,Private room,3.0,34.0,0.0,65.0,1
Manhattan,Private room,3.0,33.7,5.0,0.0,1
Brooklyn,Private room,2.0,43.1,9.0,345.0,1
Manhattan,Entire home/apt,1.0,66.8,8.0,0.0,1
Manhattan,Entire home/apt,11.0,69.0,3.0,17.0,2
Brooklyn,Entire home/apt,7.0,62.0,4.0,0.0,2
Manhattan,Entire home/apt,5.0,69.7,1.0,0.0,2
Brooklyn,Private room,1.0,25.6,36.0,59.0,0
Brooklyn,Private room,1.0,44.1,59.0,333.0,1
Manhattan,Private room,6.0,14.0,0.0,0.0,0
Brooklyn,Entire home/apt,3.0,79.6,0.0,159.0,2
Brooklyn,Shared room,3.0,64.9,0.0,0.0,2
Manhattan,Private room,2.0,45.4,1.0,338.0,1
Manhattan,Entire home/apt,1.0,57.4,0.0,0.0,1
Manhattan,Entire home/apt,2.0,,16.0,0.0,2
Manhattan,Private room,2.0,53.0,64.0,74.0,1
,Private room,2.0,54.1,65.0,311.0,1
Manhattan,Entire home/apt,30.0,76.9,0.0,167.0,3
Manhattan,Shared room,3.0,47.8,7.0,0.0,1
Queens,Entire home/apt,3.0,47.6,40.0,42.0,1
Brooklyn,Private room,17.0,16.8,0.0,0.0,0
Manhattan,Entire home/apt,4.0,68.1,22.0,0.0,2
Manhattan,,2.0,58.6,23.0,0.0,1
Brooklyn,Entire home/apt,2.0,72.8,4.0,179.0,2
Manhattan,Private room,4.0,44.6,11.0,0.0,1
Manhattan,Entire home/apt,1.0,44.0,2.0,0.0,1
Manhattan,Entire home/apt,1.0,66.0,0.0,2.0,1
Manhattan,Entire home/apt,5.0,55.4,8.0,0.0,1
Manhattan,Entire home/apt,4.0,60.2,107.0,203.0,2
Manhattan,Entire home/apt,2.0,68.7,5.0,188.0,2
Manhattan,Entire home/apt,24.0,54.2,2.0,60.0,1
Manhattan,Entire home/apt,30.0,89.3,,345.0,3
Brooklyn,Private room,5.0,11.1,16.0,0.0,0
Queens,Entire home/apt,5.0,48.0,,348.0,1
Brooklyn,Entire home/apt,3.0,57.4,6.0,0.0,2
Brooklyn,Private room,1.0,93.2,0.0,0.0,3
Brooklyn,Entire home/apt,2.0,60.6,2.0,0.0,2
Queens,Entire home/apt,3.0,48.8,0.0,36.0,1
Brooklyn,Private room,4.0,24.8,52.0,70.0,0
Manhattan,Entire home/apt,30.0,,0.0,343.0,2
Manhattan,Entire home/apt,5.0,81.6,5.0,222.0,3
Brooklyn,Private room,1.0,58.3,30.0,10.0,1
Brooklyn,Entire home/apt,5.0,47.3,1.0,321.0,1
Queens,Private room,30.0,33.4,1.0,186.0,0
Brooklyn,Private room,3.0,37.1,,0.0,1
Brooklyn,Private room,1.0,34.9,35.0,155.0,0
Manhattan,Entire home/apt,3.0,54.4,31.0,68.0,1
Manhattan,Private room,1.0,49.0,152.0,9.0,1
Manhattan,Entire home/apt,2.0,55.5,5.0,0.0,2
Brooklyn,Private room,2.0,67.5,57.0,354.0,2
Brooklyn,Entire home/apt,2.0,47.0,6.0,0.0,1
Manhattan,Entire home/apt,29.0,75.6,1.0,333.0,2
Brooklyn,Entire home/apt,1.0,49.3,91.0,255.0,1
Brooklyn,Private room,21.0,54.3,,0.0,1
Brooklyn,Entire home/apt,29.0,59.0,1.0,0.0,1
Brooklyn,Entire home/apt,7.0,85.4,4.0,0.0,3
Manhattan,Entire home/apt,4.0,76.9,0.0,6.0,2
Manhattan,Private room,1.0,38.4,0.0,0.0,1
Brooklyn,Private room,3.0,55.8,,320.0,1
Queens,Entire home/apt,3.0,59.6,21.0,152.0,1
Manhattan,Entire home/apt,2.0,93.7,5.0,0.0,3
Manhattan,Entire home/apt,3.0,58.7,25.0,155.0,1
Brooklyn,Private room,3.0,31.4,16.0,37.0,0
Manhattan,Private room,3.0,51.3,28.0,0.0,1
Brooklyn,Entire home/apt,3.0,56.9,6.0,1.0,1
Brooklyn,Entire home/apt,2.0,63.0,77.0,10.0,2
Manhattan,Private room,3.0,26.0,3.0,0.0,0
Brooklyn,Private room,2.0,21.1,77.0,167.0,0
Queens,Private room,1.0,30.2,16.0,0.0,1
Manhattan,Private room,1.0,19.4,86.0,161.0,0
Brooklyn,Private room,1.0,54.8,1.0,0.0,1
Brooklyn,Entire home/apt,3.0,46.1,,0.0,1
Manhattan,Entire home/apt,6.0,94.8,40.0,365.0,3
Brooklyn,Entire home/apt,5.0,64.3,55.0,235.0,1
Manhattan,Entire home/apt,2.0,79.9,7.0,0.0,2
Queens,Shared room,5.0,24.2,11.0,90.0,0
Queens,Private room,1.0,47.1,1.0,0.0,1
Brooklyn,Entire home/apt,3.0,39.6,3.0,120.0,1
Queens,Private room,1.0,30.5,74.0,88.0,1
Manhattan,Entire home/apt,2.0,94.2,11.0,297.0,3
Manhattan,Entire home/apt,4.0,64.9,47.0,0.0,2
Manhattan,Private room,3.0,46.0,2.0,0.0,1
Brooklyn,Private room,1.0,23.3,0.0,0.0,0
,Entire home/apt,2.0,29.5,115.0,6.0,1
Brooklyn,Private room,14.0,53.7,0.0,61.0,1
Manhattan,Entire home/apt,3.0,83.2,155.0,159.0,2
Manhattan,Entire home/apt,,58.4,,0.0,2
Queens,Private room,3.0,54.5,64.0,282.0,1
Manhattan,Shared room,2.0,47.9,0.0,49.0,1
Manhattan,Entire home/apt,1.0,84.4,52.0,3.0,3
Brooklyn,Entire home/apt,2.0,69.1,54.0,308.0,2
Manhattan,Entire home/apt,3.0,77.1,5.0,26.0,3
Manhattan,Entire home/apt,3.0,86.2,81.0,152.0,3
Manhattan,Entire home/apt,1.0,56.7,0.0,179.0,2
Manhattan,Private room,,42.7,3.0,0.0,1
Brooklyn,Private room,1.0,23.8,38.0,365.0,0
Queens,Entire home/apt,3.0,51.6,8.0,3.0,1
Brooklyn,Entire home/apt,2.0,47.6,157.0,342.0,1
Brooklyn,Private room,3.0,34.7,6.0,0.0,1
Brooklyn,Private room,28.0,32.2,0.0,31.0,0
Manhattan,Entire home/apt,3.0,68.2,79.0,28.0,2
Queens,Private room,1.0,44.4,38.0,29.0,1
Manhattan,Entire home/apt,3.0,58.9,25.0,0.0,2
,Entire home/apt,4.0,74.7,82.0,73.0,2
